promoter_id,promoter_name,event_id,club_id
967,fabric,1379735,237
967,fabric,1396461,237
967,fabric,1399335,237
967,fabric,1379724,237
967,fabric,1403060,237
967,fabric,1396460,237
967,fabric,1390589,237
967,fabric,1400058,237
967,fabric,1397349,237
967,fabric,1380537,237
967,fabric,1380531,237
967,fabric,1380536,237
967,fabric,1380483,237
967,fabric,1390587,237
967,fabric,1387461,237
967,fabric,1380535,237
967,fabric,1380533,237
967,fabric,1397996,237
967,fabric,1400039,237
967,fabric,1380534,237
967,fabric,1380532,237
967,fabric,1383369,237
967,fabric,1398472,237
967,fabric,1354106,237
967,fabric,1341498,237
967,fabric,1389285,237
967,fabric,1354105,237
17593,Trance Sanctuary,1384382,237
967,fabric,1380529,237
967,fabric,1354102,237
967,fabric,1341487,237
967,fabric,1388438,237
967,fabric,1354101,237
967,fabric,1371844,237
967,fabric,1354098,237
967,fabric,1382173,237
967,fabric,1348245,237
967,fabric,1341485,237
967,fabric,1379000,237
967,fabric,1348244,237
967,fabric,1366241,237
967,fabric,1371827,237
967,fabric,1348240,237
967,fabric,1354095,237
967,fabric,1371838,237
967,fabric,1348237,237
967,fabric,1366239,237
967,fabric,1343762,237
967,fabric,1340662,237
967,fabric,1367873,237
967,fabric,1348234,237
967,fabric,1341480,237
967,fabric,1368018,237
967,fabric,1348231,237
967,fabric,1353595,237
967,fabric,1360675,237
967,fabric,1364321,237
967,fabric,1348230,237
967,fabric,1341479,237
967,fabric,1360583,237
967,fabric,1348227,237
967,fabric,1341478,237
967,fabric,1358781,237
967,fabric,1363411,237
967,fabric,1348222,237
967,fabric,1333507,237
967,fabric,1353141,237
967,fabric,1344202,237
967,fabric,1346437,237
967,fabric,1319283,237
967,fabric,1344199,237
967,fabric,1323417,237
967,fabric,1316116,237
967,fabric,1293297,237
967,fabric,1341000,237
967,fabric,1316113,237
967,fabric,1335046,237
967,fabric,1341475,237
967,fabric,1315884,237
967,fabric,1281396,237
967,fabric,1275398,237
967,fabric,1298626,237
967,fabric,1316112,237
967,fabric,1293302,237
967,fabric,1298624,237
967,fabric,1339702,237
967,fabric,1316110,237
17593,Trance Sanctuary,1312858,237
967,fabric,1317233,237
967,fabric,1298620,237
967,fabric,1337308,237
967,fabric,1305403,237
967,fabric,1293245,237
967,fabric,1298615,237
967,fabric,1329908,237
967,fabric,1298611,237
967,fabric,1314958,237
967,fabric,1324512,237
967,fabric,1298110,237
967,fabric,1293231,237
967,fabric,1298104,237
967,fabric,1298101,237
967,fabric,1298093,237
967,fabric,1293203,237
967,fabric,1314052,237
967,fabric,1298091,237
967,fabric,1299079,237
967,fabric,1317332,237
967,fabric,1298086,237
967,fabric,1298083,237
967,fabric,1298075,237
967,fabric,1312457,237
967,fabric,1280575,237
967,fabric,1293140,237
967,fabric,1280572,237
967,fabric,1296847,237
33403,Milkshake,1297795,237
967,fabric,1304317,237
967,fabric,1280571,237
967,fabric,1270416,237
967,fabric,1302592,237
967,fabric,1280569,237
967,fabric,1295183,237
967,fabric,1292518,237
967,fabric,1280568,237
967,fabric,1279190,237
967,fabric,1270413,237
967,fabric,1280567,237
967,fabric,1270412,237
967,fabric,1300155,237
967,fabric,1280566,237
967,fabric,1264479,237
967,fabric,1282173,237
967,fabric,1272253,237
967,fabric,1290268,237
967,fabric,1263357,237
967,fabric,1264478,237
967,fabric,1278675,237
967,fabric,1250928,237
967,fabric,1270410,237
967,fabric,1273876,237
967,fabric,1271081,237
967,fabric,1264476,237
967,fabric,1275752,237
967,fabric,1241586,237
967,fabric,1269793,237
967,fabric,1243350,237
967,fabric,1250919,237
967,fabric,1264473,237
967,fabric,1263648,237
967,fabric,1250918,237
967,fabric,1223587,237
967,fabric,1269891,237
967,fabric,1250915,237
967,fabric,1257021,237
967,fabric,1260319,237
967,fabric,1250914,237
967,fabric,1223180,237
967,fabric,1258172,237
967,fabric,1227199,237
967,fabric,1227197,237
967,fabric,1254829,237
967,fabric,1250911,237
967,fabric,1243345,237
967,fabric,1239017,237
967,fabric,1243352,237
967,fabric,1223174,237
967,fabric,1245333,237
967,fabric,1235175,237
967,fabric,1237919,237
967,fabric,1245287,237
967,fabric,1248879,237
967,fabric,1235167,237
967,fabric,1223173,237
967,fabric,1231905,237
967,fabric,1235162,237
967,fabric,1223171,237
967,fabric,1209767,237
967,fabric,1218100,237
967,fabric,1224787,237
967,fabric,1227917,237
967,fabric,1218096,237
967,fabric,1223169,237
967,fabric,1209461,237
967,fabric,1237265,237
967,fabric,1218094,237
967,fabric,1223165,237
967,fabric,1209774,237
967,fabric,1218092,237
967,fabric,1224503,237
967,fabric,1231921,237
967,fabric,1192502,237
967,fabric,1183999,237
967,fabric,1209456,237
967,fabric,1192499,237
967,fabric,1183996,237
967,fabric,1224970,237
967,fabric,1224336,237
967,fabric,1192497,237
967,fabric,1192628,237
967,fabric,1224498,237
967,fabric,1192496,237
967,fabric,1183991,237
967,fabric,1221321,237
967,fabric,1192494,237
967,fabric,1192626,237
967,fabric,1200328,237
967,fabric,1192493,237
967,fabric,1183989,237
967,fabric,1189219,237
967,fabric,1192492,237
967,fabric,1192625,237
967,fabric,1205412,237
967,fabric,1192491,237
967,fabric,1183984,237
967,fabric,1215016,237
967,fabric,1192490,237
967,fabric,1193054,237
56642,Wicked Student Nights,1181912,237
967,fabric,1196447,237
967,fabric,1192489,237
967,fabric,1183982,237
967,fabric,1201861,237
967,fabric,1192488,237
967,fabric,1192622,237
967,fabric,1192683,237
967,fabric,1192486,237
967,fabric,1183980,237
967,fabric,1192554,237
967,fabric,1192484,237
967,fabric,1192621,237
967,fabric,1171638,237
967,fabric,1171615,237
967,fabric,1169648,237
967,fabric,1176312,237
967,fabric,1169431,237
967,fabric,1161959,237
967,fabric,1168931,237
967,fabric,1181804,237
967,fabric,1143793,237
967,fabric,1134992,237
967,fabric,1181792,237
967,fabric,1143792,237
967,fabric,1177594,237
967,fabric,1181797,237
967,fabric,1143790,237
76188,Forms,1154778,237
967,fabric,1160380,237
967,fabric,1143789,237
967,fabric,1151831,237
967,fabric,1160370,237
967,fabric,1143788,237
76188,Forms,1154775,237
967,fabric,1160368,237
967,fabric,1143786,237
967,fabric,1134983,237
967,fabric,1160366,237
967,fabric,1143784,237
967,fabric,1162791,237
967,fabric,1055712,237
967,fabric,1134782,237
967,fabric,1145758,237
967,fabric,1134981,237
967,fabric,1160550,237
967,fabric,1152276,237
967,fabric,1150757,237
967,fabric,1134979,237
967,fabric,1142630,237
967,fabric,1143780,237
967,fabric,1158008,237
967,fabric,1151905,237
967,fabric,1138147,237
967,fabric,1137436,237
967,fabric,1149299,237
967,fabric,1134715,237
967,fabric,1134941,237
967,fabric,1149297,237
967,fabric,1143779,237
967,fabric,1137434,237
56642,Wicked Student Nights,1148617,237
967,fabric,1149279,237
967,fabric,1134284,237
967,fabric,1134934,237
967,fabric,1149274,237
967,fabric,1139963,237
967,fabric,1137433,237
967,fabric,1149261,237
967,fabric,1125851,237
967,fabric,1132047,237
967,fabric,1135479,237
25836,Solo Danza,1072171,237
967,fabric,1131638,237
967,fabric,1136851,237
967,fabric,1137526,237
967,fabric,1121255,237
967,fabric,1118832,237
967,fabric,1137550,237
967,fabric,1097189,237
967,fabric,1118831,237
967,fabric,1137513,237
967,fabric,1097184,237
967,fabric,1118830,237
967,fabric,1120620,237
967,fabric,1097182,237
967,fabric,1100505,237
967,fabric,1120774,237
967,fabric,1116364,237
967,fabric,1100504,237
967,fabric,1120613,237
967,fabric,1097181,237
967,fabric,1117771,237
967,fabric,1120610,237
967,fabric,1100502,237
967,fabric,1120604,237
967,fabric,1061543,237
64274,shiftldn.com,1106272,237
967,fabric,1100501,237
967,fabric,1113035,237
967,fabric,1097179,237
967,fabric,1103033,237
967,fabric,1112963,237
967,fabric,1082110,237
967,fabric,1073147,237
967,fabric,1112962,237
967,fabric,1089441,237
967,fabric,1104639,237
967,fabric,1112959,237
967,fabric,1097178,237
967,fabric,1073146,237
967,fabric,1103506,237
967,fabric,1095325,237
967,fabric,1095136,237
967,fabric,1100569,237
967,fabric,1072216,237
967,fabric,1073144,237
967,fabric,1100540,237
967,fabric,1072206,237
967,fabric,1085949,237
967,fabric,1091057,237
967,fabric,1061541,237
967,fabric,1073142,237
967,fabric,1072417,237
967,fabric,1072201,237
967,fabric,1081702,237
967,fabric,1072412,237
967,fabric,1072199,237
967,fabric,1073141,237
967,fabric,1072410,237
967,fabric,1072195,237
967,fabric,1073693,237
967,fabric,1082289,237
967,fabric,1069406,237
967,fabric,1071334,237
967,fabric,1066585,237
967,fabric,1080906,237
967,fabric,1047437,237
967,fabric,1064628,237
967,fabric,1047435,237
967,fabric,1067185,237
967,fabric,1047433,237
967,fabric,1059005,237
967,fabric,1072408,237
967,fabric,1047432,237
967,fabric,1053155,237
967,fabric,1072400,237
967,fabric,1047430,237
967,fabric,1042285,237
967,fabric,1072393,237
967,fabric,1047429,237
967,fabric,1053152,237
967,fabric,1046411,237
967,fabric,1037867,237
967,fabric,1053154,237
967,fabric,1058564,237
967,fabric,1037864,237
967,fabric,1042283,237
967,fabric,1058562,237
967,fabric,1047428,237
967,fabric,1044394,237
967,fabric,1046852,237
967,fabric,1047427,237
967,fabric,1042282,237
967,fabric,1048565,237
967,fabric,1037862,237
967,fabric,1039788,237
45141,SNEAK London,1033486,237
967,fabric,1048563,237
967,fabric,1037861,237
967,fabric,1042279,237
967,fabric,1048561,237
967,fabric,1037860,237
967,fabric,1027515,237
