artist_name,artist_id,ethnicity,gender,genre
IMOGEN,imogen,NA,NA,NA
Alan Banks,alanbanks,NA,NA,NA
Mark Landragin,marklandragin,NA,NA,NA
Amy Wiles,amywiles,NA,NA,NA
Roberto Surace,robertosurace,NA,NA,NA
SOSA,sosauk,NA,NA,NA
Laurine,laurine,NA,NA,NA
Cecilio,cecilio,NA,NA,NA
Christian AB,christianbrowne,NA,NA,NA
Quest (IT),questit,NA,NA,NA
Truly Madly,trulymadly,NA,NA,NA
Andy Luff,andyluff,NA,NA,NA
Crissy Criss,crissycriss,NA,NA,NA
Bladerunner,bladerunner-de,NA,NA,NA
Micky Finn,mickyfinn-uk,NA,NA,NA
Aphrodite,aphrodite,NA,NA,NA
Annix,annix,NA,NA,NA
D*Minds,dminds,NA,NA,NA
Giuliano Lomonte,giulianolomonte,NA,NA,NA
Dudley Strangeways,dudleystrangeways,NA,NA,NA
Annie Errez,annieerrez,NA,NA,NA
Luke Black,lukeblack,NA,NA,NA
Enzo Siragusa,enzosiragusa,NA,NA,NA
Luigi Madonna,luigimadonna,NA,NA,NA
Oliver Koletzki,oliverkoletzki,NA,NA,NA
Super Flu,superflu,NA,NA,NA
Aidan Doherty,aidandoherty,NA,NA,NA
Grum,grum,NA,NA,NA
Stereo Underground,stereounderground,NA,NA,NA
Kruder & Dorfmeister,kruder-dorfmeister,NA,NA,NA
Traumer,traumer,NA,NA,NA
Binh,binh,NA,NA,NA
Margaret Dygas,margaretdygas,NA,NA,NA
Hamid,hamid,NA,NA,NA
DJ Bone,djbone,NA,NA,NA
Umwelt,umwelt,NA,NA,NA
Total Science,totalscience,NA,NA,NA
L-Side,l-side,NA,NA,NA
Drumsound & Bassline Smith,drumsoundbasslinesmith,NA,NA,NA
MC GQ,mcgq,NA,NA,NA
LowQui,lowqui,NA,NA,NA
Artificial Intelligence,artificialintelligence,NA,NA,NA
Zero T,zerot,NA,NA,NA
DJ Ron,djron,NA,NA,NA
2SHY,2shy,NA,NA,NA
Decibella,decibella,NA,NA,NA
AJ Christou,ajchristou,NA,NA,NA
Dexter Kane,dexterkane,NA,NA,NA
Apollonia,apollonia,NA,NA,NA
Dan Ghenacia,danghenacia,NA,NA,NA
Dyed Soundorom,dyedsoundorom,NA,NA,NA
Shonky,shonky,NA,NA,NA
Claude VonStroke,claudevonstroke,NA,NA,NA
Cici,cici,NA,NA,NA
Mood II Swing,moodiiswing,NA,NA,NA
Prunk,prunk,NA,NA,NA
Chris Stussy,chrisstussy,NA,NA,NA
DJOKO,djoko,NA,NA,NA
James Dexter,jamesdexter,NA,NA,NA
Jaden Thompson,jadenthompson,NA,NA,NA
SUCASA,sucasa,NA,NA,NA
Nick Curly,nickcurly,NA,NA,NA
Davide Decay,davidedecay,NA,NA,NA
Max.,max.,NA,NA,NA
La Gosse,lagosse,NA,NA,NA
Daisybelle,daisybelle,NA,NA,NA
James O'Connell,jamesoconnell,NA,NA,NA
Rhadoo,rhadoo,NA,NA,NA
Dan Andrei,danandrei,NA,NA,NA
Kozo,kozo,NA,NA,NA
Matteo Manzini,matteomanzini,NA,NA,NA
Mariiin,Mariiin,NA,NA,NA
Lukas Wigflex,lukaswigflex,NA,NA,NA
Alex T,alext,NA,NA,NA
Lee Burridge,leeburridge,NA,NA,NA
Gorje Hewek,gorjehewek,NA,NA,NA
Izhevski,izhevski,NA,NA,NA
Lost Desert,lostdesert,NA,NA,NA
Jacob Husley,jacobhusley,NA,NA,NA
Mathew Jonson,mathewjonson,NA,NA,NA
Sebastian Mullaert,sebastianmullaert,NA,NA,NA
Terry Francis,terryfrancis,NA,NA,NA
Oliver Moon,olivermoon,NA,NA,NA
Claptone,claptone,NA,NA,NA
Waze & Odyssey,wazeodyssey,NA,NA,NA
Wheats,wheats,NA,NA,NA
Lindsey Matthews,lindseymatthews,NA,NA,NA
La Roux,laroux,NA,NA,NA
The Ghost,theghost,NA,NA,NA
Function,function,NA,NA,NA
Volvox,volvox,NA,NA,NA
Voiski,voiski,NA,NA,NA
Alix Perez,alixperez,NA,NA,NA
Etherwood,etherwood,NA,NA,NA
BCee,bcee,NA,NA,NA
Sweetpea,sweetpea,NA,NA,NA
Cleveland,cleveland,NA,NA,NA
LX one,lxone,NA,NA,NA
Fre4knc,fre4knc,NA,NA,NA
Arkaik,arkaik,NA,NA,NA
Philth,philth,NA,NA,NA
Amoss,amoss,NA,NA,NA
Survey,survey,NA,NA,NA
Joe Raygun,joeraygun,NA,NA,NA
Dilemma,dilemma,NA,NA,NA
Leon,leonitaly,NA,NA,NA
Andrea Giudice,andreagiudice,NA,NA,NA
Daniel Orpi,danielorpi,NA,NA,NA
Saoirse,saoirse,NA,NA,NA
DJ Stingray,djstingray,NA,NA,NA
Radioactive Man,radioactiveman,NA,NA,NA
A-Future,afuture,NA,NA,NA
2 Bad Mice,2badmice,NA,NA,NA
Chris Inperspective,chrisinperspective,NA,NA,NA
Seb Zito,sebzito,NA,NA,NA
Matt Jam Lamont,mattjamlamont,NA,NA,NA
James Puentes,jamespuentes,NA,NA,NA
Re-UP,re-up,NA,NA,NA
Riccardo Piazza,riccardopiazza,NA,NA,NA
Prins Thomas,prinsthomas,NA,NA,NA
DJ Sotofett,djsotofett,NA,NA,NA
Stanton Warriors,stantonwarriors,NA,NA,NA
Danny Byrd,dannybyrd,NA,NA,NA
Mark Archer,markarcher,NA,NA,NA
Shadow Child,shadowchild,NA,NA,NA
The Nextmen,thenextmen,NA,NA,NA
Plump DJs,plumpdjs,NA,NA,NA
Freestylers,freestylers,NA,NA,NA
Mafia Kiss,mafiakiss,NA,NA,NA
Aurbs,aurbs,NA,NA,NA
Hostox,hostox,NA,NA,NA
Mälu,malu,NA,NA,NA
Marcelina Wick,marcelinawick,NA,NA,NA
Jay Medvedeva,jaymedvedeva,NA,NA,NA
Olly Vanc,ollyvanc,NA,NA,NA
moxiaolin,moxiaolin,NA,NA,NA
DeWalta,dewalta,NA,NA,NA
Mike Shannon,mikeshannon,NA,NA,NA
John Dimas,johndimas,NA,NA,NA
Digby,digby,NA,NA,NA
Harry McCanna,harrymccanna,NA,NA,NA
Trimer,trimer,NA,NA,NA
Apollo 84,apollo84,NA,NA,NA
DAF,daf,NA,NA,NA
Alecia Hanna,aleciahanna,NA,NA,NA
Laura Harvey,lauraharvey,NA,NA,NA
Forester,forester,NA,NA,NA
Aghnes,aghnes,NA,NA,NA
Ethel,ethel,NA,NA,NA
JoeFarr,joefarr,NA,NA,NA
Hypah,hypah,NA,NA,NA
Fred Asquith,FredAsquith,NA,NA,NA
Kodah,kodah,NA,NA,NA
Niamh,niamh,NA,NA,NA
Deborah De Luca,deborahdeluca,NA,NA,NA
Kolsch,kolsch,NA,NA,NA
Joris Voorn,jorisvoorn,NA,NA,NA
Ryan Elliott,ryanelliott,NA,NA,NA
Pirupa,pirupa,NA,NA,NA
Loran,loran,NA,NA,NA
Bruno Fornaro,brunofornaro,NA,NA,NA
Jan Blomqvist,janblomqvist,NA,NA,NA
Oliver Schories,oliverschories,NA,NA,NA
Sinàl,sinal,NA,NA,NA
Sam Wolf,samwolf-uk,NA,NA,NA
Nicky Sahota,nickysahota,NA,NA,NA
Ricky Sahota,rickysahota,NA,NA,NA
Ben Murphy,benmurphy,NA,NA,NA
Luke Hazell,lukehazell,NA,NA,NA
Elliott Owen,elliottowen,NA,NA,NA
Norris Da Boss Windross,norrisdabosswindross,NA,NA,NA
DJ Cartier,djcartier,NA,NA,NA
Scott Garcia,scottgarcia,NA,NA,NA
Mike Delinquent,mikedelinquent,NA,NA,NA
MC DT,mcdt,NA,NA,NA
Sam Supplier,samsupplier,NA,NA,NA
Shenin Amara,sheninamara,NA,NA,NA
Kirk Paten,kirkpaten,NA,NA,NA
Marcus Nasty,marcus-nasty,NA,NA,NA
Romare,romare,NA,NA,NA
Session Victim,sessionvictim,NA,NA,NA
TSHA,tsha,NA,NA,NA
Sasha,sasha,NA,NA,NA
Charlotte de Witte,charlottedewitte,NA,NA,NA
999999999,999999999,NA,NA,NA
Amotik,amotik,NA,NA,NA
Anastasia Kristensen,anastasiakristensen,NA,NA,NA
Matrixxman,matrixxman,NA,NA,NA
ONYVAA,onyvaa-fr,NA,NA,NA
Mala,mala,NA,NA,NA
Egoless,egoless,NA,NA,NA
Dubkasm,dubkasm,NA,NA,NA
Compa,compa,NA,NA,NA
Samba,samba,NA,NA,NA
Mungo's Hi Fi,mungoshifi,NA,NA,NA
Iration Steppas,irationsteppas,NA,NA,NA
Eva Lazarus,evalazarus,NA,NA,NA
Mihai Popoviciu,mihaipopoviciu,NA,NA,NA
Toman,toman,NA,NA,NA
RPR Soundsystem,rprsoundsystem,NA,NA,NA
Petre Inspirescu,petreinspirescu,NA,NA,NA
Raresh,raresh,NA,NA,NA
Maayan Nidam,maayannidam,NA,NA,NA
Cosmin TRG,cosmintrg,NA,NA,NA
Todd Edwards,toddedwards,NA,NA,NA
Riva Starr,rivastarr,NA,NA,NA
Ellie Cocks,elliecocks,NA,NA,NA
Max Dean,maxdean-uk,NA,NA,NA
Rapha (1),rapha-1,NA,NA,NA
Mario D'Ambrosio,mariodambrosio-uk,NA,NA,NA
Setaoc Mass,setaocmass,NA,NA,NA
Airod,airod,NA,NA,NA
Perc,perc,NA,NA,NA
SpectraSoul,spectrasoul,NA,NA,NA
Breakage,breakage,NA,NA,NA
Technimatic,technimatic-uk,NA,NA,NA
Icicle,icicle,NA,NA,NA
Ed:it,edit-de,NA,NA,NA
GLXY,glxy,NA,NA,NA
